a	ga a_c
xiong	xx_c iong_c
xiu	xx_c iou_c
xu	xx_c u_c
xuan	xx_c van_c
xue	xx_c ve_c
xun	xx_c vn_c
ya	y_c a_c
yan	y_c an_c
yang	y_c ang_c
yao	y_c ao_c
ye	y_c e_c
yi	y_c i_c
yin	y_c in_c
yo	y_c o_c
yong	y_c ong_c
you	y_c ou_c
yu	y_c u_c
yuan	y_c van_c
yue	y_c ve_c
yun	y_c vn_c
yuo	y_c uo_c
za	z_c a_c
zai	z_c ai_c
zan	z_c an_c
zang	z_c ang_c
zao	z_c ao_c
ze	z_c e_c
zei	z_c ei_c
zen	z_c en_c
zi	z_c ii_c
zo	z_c o_c
zong	z_c ong_c
zou	z_c ou_c
zu	z_c u_c
zua	z_c ua_c
zuai	z_c uai_c
zuan	z_c uan_c
zuang	z_c uang_c
zui	z_c uei_c
zuo	z_c uo_c
bing	b_c ing_c
cer	c_c er_c
ei	ge ei_c
en	ge en_c
fou	f_c ou_c
gei	g_c ei_c
geng	g_c eng_c
heng	h_c eng_c
huar	h_c ua_c
huei	h_c uei_c
jing	j_c ing_c
jo	j_c o_c
keng	k_c eng_c
kuei	k_c uei_c
le	l_c e_c
leng	l_c eng_c
neng	n_c eng_c
ling	l_c ing_c
ning	n_c ing_c
ming	m_c ing_c
nar	n_c a_c
ngai	ng_c ai_c
ngan	ng_c an_c
ngao	ng_c ao_c
ngen	ng_c en_c
ngo	ng_c o_c
xou	xx_c ou_c
ping	p_c ing_c
reng	r_c eng_c
ro	r_c o_c
run	r_c uen_c
sei	s_c ei_c
seng	s_c eng_c
te	t_c e_c
teng	t_c eng_c
ting	t_c ing_c
tun	t_c uen_c
wong	w_c ong_c
ying	y_c ing_c
zeng	z_c eng_c
zun	z_c uen_c
ang	ga ang_c
ou	go ou_c
banr	b_c an_c
benr	b_c en_c
bianr	b_c ian_c
dianr	d_c ian_c
dunr	d_c uen_c
fenr	f_c en_c
fo	f_c o_c
fur	f_c u_c
gunr	g_c uen_c
guo	g_c uo_c
hair	h_c ai_c
har	h_c a_c
hei	h_c ei_c
huir	h_c uei_c
jianr	j_c ian_c
jingr	j_c ing_c
jiong	j_c iong_c
kanr	k_c an_c
kei	k_c ei_c
kuo	k_c uo_c
lar	l_c a_c
lei	l_c ei_c
lianr	l_c ian_c
nianr	n_c ian_c
luei	l_c uei_c
nuei	n_c uei_c
maor	m_c ao_c
menr	m_c en_c
mou	m_c ou_c
nga	ng_c a_c
ngang	ng_c ang_c
ngei	ng_c ei_c
nger	ng_c er_c
ngong	ng_c ong_c
ngou	ng_c ou_c
ningr	n_c ing_c
niur	n_c iou_c
nvr	n_c v_c
qio	q_c io_c
qo	q_c o_c
rui	r_c uei_c
sengr	s_c eng_c
ter	t_c er_c
tour	t_c ou_c
wanr	w_c an_c
war	w_c a_c
weng	w_c eng_c
wenr	w_c en_c
xingr	xx_c ing_c
xo	xx_c o_c
yangr	y_c ang_c
yanr	y_c an_c
yar	y_c a_c
yuanr	y_c van_c
yuer	y_c ve_c
zeir	z_c ei_c
zer	z_c er_c
jun	j_c vn_c
beir	b_c ei_c
cei	c_c ei_c
dengr	d_c eng_c
far	f_c a_c
genr	g_c en_c
hor	h_c o_c
kor	k_c o_c
miu	m_c iou_c
nia	n_c ia_c
penr	p_c en_c
xianr	xx_c ian_c
gue	g_c ve_c
hue	h_c ve_c
bangr	b_c ang_c
baor	b_c ao_c
bar	b_c a_c
bingr	b_c ing_c
cangr	c_c ang_c
car	c_c a_c
cengr	c_c eng_c
cuanr	c_c uan_c
cuir	c_c uei_c
cunr	c_c uen_c
danr	d_c an_c
dar	d_c a_c
dour	d_c ou_c
duir	d_c uei_c
feir	f_c ei_c
fengr	f_c eng_c
ganr	g_c an_c
gaor	g_c ao_c
gar	g_c a_c
gengr	g_c eng_c
gor	g_c o_c
gour	g_c ou_c
guanr	g_c uan_c
guar	g_c ua_c
hanr	h_c an_c
hunr	h_c uen_c
hur	h_c u_c
jiaor	j_c iao_c
jiar	j_c ia_c
juanr	j_c van_c
junr	j_c vn_c
kar	k_c a_c
kour	k_c ou_c
kuair	k_c uai_c
laor	l_c ao_c
naor	n_c ao_c
leir	l_c ei_c
neir	n_c ei_c
liur	l_c iou_c
lur	l_c u_c
nur	n_c u_c
mianr	m_c ian_c
miaor	m_c iao_c
mingr	m_c ing_c
minr	m_c in_c
mur	m_c u_c
nge	ng_c e_c
niaor	n_c iao_c
or	go o_c
pair	p_c ai_c
paor	p_c ao_c
pianr	p_c ian_c
piaor	p_c iao_c
pon	p_c iai_c
pur	p_c u_c
qianr	q_c ian_c
qir	q_c i_c
qiur	q_c iou_c
quanr	q_c van_c
rei	r_c ei_c
ruo	r_c uo_c
sir	s_c ii_c
sour	s_c ou_c
sunr	s_c uen_c
suo	s_c uo_c
tair	t_c ai_c
tanr	t_c an_c
tei	t_c ei_c
tianr	t_c ian_c
tir	t_c i_c
wangr	w_c ang_c
weir	w_c ei_c
xiar	xx_c ia_c
yei	y_c ei_c
yingr	y_c ing_c
zengr	z_c eng_c
zir	z_c ii_c
zuanr	z_c uan_c
zuir	z_c uei_c
zur	z_c u_c
beng	b_c eng_c
cua	c_c ua_c
dia	d_c ia_c
duo	d_c uo_c
eng	ge eng_c
pou	p_c ou_c
xuo	xx_c uo_c
shao	sh_c ao_c
zhen	zh_c en_c
shi	sh_c i_c
zhe	zh_c e_c
lia	l_c ia_c
hiang	h_c iang_c
cuo	c_c uo_c
ngeng	ng_c eng_c
