a	ga a_c
shi	sh_c ih_c
shou	sh_c ou_c
shu	sh_c u_c
shua	sh_c ua_c
shuai	sh_c uai_c
shuan	sh_c uan_c
shuang	sh_c uang_c
shui	sh_c uei_c
shun	sh_c uen_c
shuo	sh_c uo_c
si	s_c ii_c
song	s_c ong_c
sou	s_c ou_c
su	s_c u_c
suan	s_c uan_c
sui	s_c uei_c
sun	s_c uen_c
suo	s_c uo_c
ta	t_c a_c
tai	t_c ai_c
tan	t_c an_c
tang	t_c ang_c
tao	t_c ao_c
te	t_c e_c
tei	t_c ei_c
teng	t_c eng_c
ti	t_c i_c
tian	t_c ian_c
tiao	t_c iao_c
tie	t_c ie_c
ting	t_c ing_c
tong	t_c ong_c
tou	t_c ou_c
tu	t_c u_c
tuan	t_c uan_c
tui	t_c uei_c
tun	t_c uen_c
tuo	t_c uo_c
wa	w_c a_c
wai	w_c ai_c
wan	w_c an_c
wang	w_c ang_c
wei	w_c ei_c
wen	w_c en_c
weng	w_c eng_c
wo	w_c o_c
wu	w_c u_c
xi	xx_c i_c
xia	xx_c ia_c
xian	xx_c ian_c
xiang	xx_c iang_c
xiao	xx_c iao_c
xie	xx_c ie_c
xin	xx_c in_c
xing	xx_c ing_c
xiong	xx_c iong_c
xiu	xx_c iou_c
xv	xx_c v_c
xvan	xx_c van_c
xve	xx_c ve_c
xvn	xx_c vn_c
ya	y_c a_c
yan	y_c an_c
yang	y_c ang_c
yao	y_c ao_c
ye	y_c e_c
yi	y_c i_c
yin	y_c in_c
ying	y_c ing_c
yo	y_c o_c
yong	y_c ong_c
you	y_c ou_c
yv	y_c v_c
yvan	y_c van_c
yve	y_c ve_c
yvn	y_c vn_c
za	z_c a_c
zai	z_c ai_c
zan	z_c an_c
zang	z_c ang_c
zao	z_c ao_c
ze	z_c e_c
zei	z_c ei_c
zen	z_c en_c
zeng	z_c eng_c
zha	zh_c a_c
zhai	zh_c ai_c
zhan	zh_c an_c
zhang	zh_c ang_c
zhao	zh_c ao_c
zhe	zh_c e_c
zhei	zh_c ei_c
zhen	zh_c en_c
zheng	zh_c eng_c
zhi	zh_c ih_c
zhong	zh_c ong_c
zhou	zh_c ou_c
zhu	zh_c u_c
zhua	zh_c ua_c
zhuai	zh_c uai_c
zhuan	zh_c uan_c
zhuang	zh_c uang_c
zhui	zh_c uei_c
zhun	zh_c uen_c
zhuo	zh_c uo_c
zi	z_c ii_c
zong	z_c ong_c
zou	z_c ou_c
zu	z_c u_c
zuan	z_c uan_c
zui	z_c uei_c
zun	z_c uen_c
zuo	z_c uo_c
bangr	b_c angr_c
banr	b_c anr_c
baor	b_c aor_c
bar	b_c ar_c
beir	b_c eir_c
bengr	b_c engr_c
benr	b_c enr_c
bianr	b_c ianr_c
biaor	b_c iaor_c
bingr	b_c ingr_c
bir	b_c ir_c
bor	b_c or_c
bur	b_c ur_c
caor	c_c aor_c
car	c_c ar_c
changr	ch_c angr_c
chaor	ch_c aor_c
char	ch_c ar_c
chengr	ch_c engr_c
cher	ch_c er_c
chir	ch_c ihr_c
chongr	ch_c ongr_c
chour	ch_c our_c
chuangr	ch_c uangr_c
chuanr	ch_c uanr_c
chuir	ch_c ueir_c
chunr	ch_c uenr_c
chuor	ch_c uor_c
chur	ch_c ur_c
cir	c_c iir_c
congr	c_c ongr_c
cuir	c_c ueir_c
cunr	c_c uenr_c
cuor	c_c uor_c
dair	d_c air_c
danr	d_c anr_c
dangr	d_c angr_c
daor	d_c aor_c
dengr	d_c engr_c
dianr	d_c ianr_c
diaor	d_c iaor_c
dier	d_c ier_c
dingr	d_c ingr_c
dir	d_c ir_c
dongr	d_c ongr_c
dour	d_c our_c
duanr	d_c uanr_c
duir	d_c ueir_c
dunr	d_c uenr_c
duor	d_c uor_c
dur	d_c ur_c
fangr	f_c angr_c
fanr	f_c anr_c
far	f_c ar_c
fengr	f_c engr_c
fenr	f_c enr_c
fur	f_c ur_c
gair	g_c air_c
ganr	g_c anr_c
gaor	g_c aor_c
gengr	g_c engr_c
genr	g_c enr_c
ger	g_c er_c
gongr	g_c ongr_c
gour	g_c our_c
guair	g_c uair_c
guanr	g_c uanr_c
guar	g_c uar_c
guir	g_c ueir_c
gunr	g_c uenr_c
guor	g_c uor_c
gur	g_c ur_c
hair	h_c air_c
hanr	h_c anr_c
haor	h_c aor_c
heir	h_c eir_c
her	h_c er_c
hour	h_c our_c
huanr	h_c uanr_c
huangr	h_c uangr_c
huar	h_c uar_c
huir	h_c ueir_c
hunr	h_c uenr_c
huor	h_c uor_c
hur	h_c ur_c
jianr	j_c ianr_c
jiaor	j_c iaor_c
jiar	j_c iar_c
jier	j_c ier_c
jingr	j_c ingr_c
jinr	j_c inr_c
jir	j_c ir_c
jiur	j_c iour_c
